MEREK,BRAND,TIPE HOSE,Working Pressure Bar,Working Pressure Psi,Hose O.D. (mm),Hose O.D. (in),Hose I.D. (mm),Hose I.D. (in),Temperature Range (°C),Bend Radius (mm),tipe kawat,Standard,Inch,DN,Min Burst Pressure bar,Min Bar Pressure psi,Type Bend
AEQROQUIP,DANFOSS,EC525-12,345.0,5000.0,30.7,1.21,19,0.75,Typical fluids: -40°C To +150°C | Phosphate-ester base fluids: -40°C To +82°C,241.3,4S - 4 Wire Spiral,SAE 100R12 | EN 856 R12 | MSHA IC-84/18,,,1380.0,20000.0,
AEQROQUIP,DANFOSS,EC525-16,345.0,5000.0,37.9,1.49,25.4,1,Typical fluids: -40°C To +150°C | Phosphate-ester base fluids: -40°C To +82°C,304.8,4S - 4 Wire Spiral,SAE 100R12 | EN 856 R12 | MSHA IC-84/18,,,1380.0,20000.0,
AEQROQUIP,DANFOSS,EC525-20,240.0,3500.0,46.6,1.84,32.8,1.25,Typical fluids: -40°C To +150°C | Phosphate-ester base fluids: -40°C To +82°C,419.1,4S - 4 Wire Spiral,SAE 100R12 | EN 856 R12 | MSHA IC-84/18,,,980.0,14000.0,
AEQROQUIP,DANFOSS,EC525-24,240.0,3500.0,53.9,2.12,38.1,1.5,Typical fluids: -40°C To +150°C | Phosphate-ester base fluids: -40°C To +82°C,508.0,4S - 4 Wire Spiral,SAE 100R12 | EN 856 R12 | MSHA IC-84/18,,,980.0,14000.0,
AEQROQUIP,DANFOSS,EC525-32,225.0,3250.0,67.3,2.65,50.8,2,Typical fluids: -40°C To +150°C | Phosphate-ester base fluids: -40°C To +82°C,635.0,4S - 4 Wire Spiral,SAE 100R12 | EN 856 R12 | MSHA IC-84/18,,,980.0,14000.0,
AEQROQUIP,DANFOSS,EC600-12,420.0,6100.0,33.3,1.31,19,0.75, -40°C to 127°C,135.0,4S - 4 Wire Spiral,SAE 100R15 | ISO 18752-DC | MSHA IC-84/19 | ABS | DNV | USCG ,,19.0,1680.0,24400.0,half bend
AEQROQUIP,DANFOSS,EC600-16,420.0,6100.0,39.4,1.55,25.4,1, -40°C to 127°C,165.0,4S - 4 Wire Spiral,SAE 100R15 | ISO 18752-DC | MSHA IC-84/19 | ABS | DNV | USCG ,,25.0,1680.0,24400.0,half bend
AEQROQUIP,DANFOSS,EC600-20,420.0,6100.0,50.5,1.99,31.8,1.25, -40°C to 127°C,335.0,4S - 4 Wire Spiral,SAE 100R15 | ISO 18752-DC | MSHA IC-84/19 | ABS | DNV | USCG ,,31.0,1680.0,24400.0,half bend
AEQROQUIP,DANFOSS,EC600-24,420.0,6100.0,57.7,22.7,38.1,1.5, -40°C to 127°C,265.0,6S - 6 Wire Spiral,SAE 100R15 | ISO 18752-DC | MSHA IC-84/19 | ABS | DNV | USCG ,,38.0,1680.0,24400.0,half bend
AEQROQUIP,DANFOSS,EC600-32,420.0,6100.0,71.8,2.83,50.8,2, -40°C to 127°C,375.0,6S - 6 Wire Spiral,SAE 100R15 | ISO 18752-DC | MSHA IC-84/19 | ABS | DNV | USCG ,,51.0,1680.0,24400.0,half bend
AEQROQUIP,DANFOSS,EC810-12,420.0,6100.0,32.2,1.27,19,0.75,-57°C to +100°C,280.0,4S - 4 Wire Spiral,MSHA IC-84/68,,,1680.0,24360.0,
